Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C4 C5 C6 C7 C9 C10,0603,
0.01uF,C1,0603,
1R,R3 R4,0603-RES,
2.2u,C2,0805,
10K,R1 R2 R5 R11,0603-RES,
10k,R12 R13 R14 R15,742C083103JP,
22uF,C8,PANASONIC_C,
100,R16 R17 R18 R19,742C083103JP,
168,R6 R7 R8 R10,0603-RES,
220,R9,0603-RES,
IRF7807PBF,Q2,SO08,
IRLML2502,Q1,SOT23,
LED_BLUE_GLITCH_EN,D2,LED-0603,
LED_BLUE_TRIGGER2,D3,LED-0603,
LED_RED_HPGLITCH,D5,LED-0603,
LED_RED_LPGLITCH,D1,LED-0603,
LED_RED_TARGET_POWER,D4,LED-0603,
Micro Slide Switch,S1,SWITCH-SP3T-SMD,
NH245,U1 U2,TSSOP24,
Raspberry Pi,PICO,RPI_PICO,
SWITCH-MOMENTARY-2,S_RST,TACTILE_SWITCH_TALL,
TPS 79318,Q3,SOT23-5L,
TPS2041,Q4,SO08,
