Designator,Mid X,Mid Y,Layer,Rotation
C1,65.19,48.55,Top,270.0
C2,58.79,48.55,Top,270.0
C3,23.28,24.42,Top,270.0
C4,23.28,19.34,Top,90.0
C5,39.79,19.34,Top,90.0
C6,39.79,24.42,Top,270.0
C7,57.57,37.12,Top,270.0
C8,71.12,36.83,Top,270.0
C9,61.38,32.04,Top,0.0
C10,61.38,44.74,Top,0.0
D1,86.36, 2.54,Top,0.0
D2,86.36,10.16,Top,0.0
D3,86.37, 7.62,Top,0.0
D4,86.36,12.70,Top,0.0
D5,86.36, 5.08,Top,0.0
PICO,26.31,45.66,Top,90.0
Q1,57.15,12.70,Top,270.0
Q2,64.77,13.97,Top,90.0
Q3,62.23,48.26,Top,0.0
Q4,62.23,36.83,Top,0.0
R1,24.13,29.21,Top,0.0
R2,53.34,12.70,Top,90.0
R3,53.34,16.51,Top,90.0
R4,71.12,16.51,Top,90.0
R5,71.12,12.70,Top,90.0
R6,81.28,10.16,Top,180.0
R7,81.28, 2.54,Top,180.0
R8,81.28, 7.62,Top,180.0
R9,81.28,12.70,Top,180.0
R10,81.28, 5.08,Top,180.0
R11,66.04,36.83,Top,270.0
R12,36.83,16.51,Top,180.0
R13,31.75,16.51,Top,180.0
R14,15.24,29.21,Top,180.0
R15,20.32,29.21,Top,180.0
R16,36.83,29.21,Top,180.0
R17,31.75,29.21,Top,180.0
R18,20.32,16.51,Top,180.0
R19,15.24,16.51,Top,180.0
S1,62.23,55.64,Top,0.0
S_RST, 6.35, 9.39,Top,180.0
U1,34.29,22.86,Top,180.0
U2,17.78,22.86,Top,180.0
